scenario_group,scenario_name,capacity_multiplier,fleet_size,T_max,beta,status,objective,selected_cafes,vans_used,total_margin,transport_cost,route_penalty,total_route_duration_hr,max_route_duration_hr,total_load_kg,runtime_sec,mip_gap
capacity,0.75x capacity,0.75,5,3.0,5.0,OPTIMAL,2860.9213533333323,34,3,2926.4999999999986,34.903105000000004,30.675541666666657,6.135108333333331,2.119776666666666,1207.7299999999987,0.394550085067749,0.009596581612561756
capacity,1.00x capacity,1.0,5,3.0,5.0,OPTIMAL,2860.729806666665,34,3,2926.4999999999986,35.01616,30.75403333333333,6.150806666666666,2.8436383333333333,1207.7299999999987,0.3096311092376709,0.009750572261919596
capacity,1.25x capacity,1.25,5,3.0,5.0,OPTIMAL,2862.268831666665,34,4,2926.4999999999986,32.69881000000001,31.532358333333335,6.306471666666666,2.7715300000000003,1207.7299999999987,0.3461949825286865,0.009280148151066715
capacity,1.50x capacity,1.5,5,3.0,5.0,OPTIMAL,2862.330814999999,34,3,2926.4999999999986,34.128635,30.040549999999996,6.008109999999999,2.749833333333333,1207.7299999999987,3.6174261569976807,0.008291338323692474
fleet_size,2 vans,1.0,2,3.0,5.0,OPTIMAL,2824.8133133333317,33,2,2881.2999999999984,29.570445,26.916241666666664,5.383248333333333,2.70097,1183.079999999999,0.8359150886535645,0.009784441825696766
fleet_size,3 vans,1.0,3,3.0,5.0,OPTIMAL,2859.7748133333316,34,3,2926.4999999999986,36.543094999999994,30.182091666666665,6.036418333333334,2.6693333333333333,1207.7299999999987,0.2393779754638672,0.009599341416653721
fleet_size,4 vans,1.0,4,3.0,5.0,OPTIMAL,2860.4631749999985,34,3,2926.4999999999986,35.82920000000001,30.207625000000004,6.041525,2.871581666666667,1207.7299999999987,0.23208999633789062,0.009356384439826585
fleet_size,5 vans,1.0,5,3.0,5.0,OPTIMAL,2860.729806666665,34,3,2926.4999999999986,35.01616,30.75403333333333,6.150806666666666,2.8436383333333333,1207.7299999999987,0.3049290180206299,0.009750572261919596
T_max,Tmax 2h,1.0,5,2.0,5.0,OPTIMAL,2860.3482199999985,34,4,2926.4999999999986,34.697604999999996,31.454174999999992,6.290834999999998,1.9233349999999994,1207.7299999999987,3.1888020038604736,0.008988231733382781
T_max,Tmax 3h,1.0,5,3.0,5.0,OPTIMAL,2860.729806666665,34,3,2926.4999999999986,35.01616,30.75403333333333,6.150806666666666,2.8436383333333333,1207.7299999999987,0.2978999614715576,0.009750572261919596
T_max,Tmax 4h,1.0,5,4.0,5.0,OPTIMAL,2861.049733333332,34,3,2926.4999999999986,34.700125,30.75014166666666,6.150028333333333,2.8436383333333333,1207.7299999999987,0.28879785537719727,0.009637660511038391
beta,beta 0,1.0,5,3.0,0.0,OPTIMAL,2887.6722099999984,34,4,2926.4999999999986,38.827790000000014,0.0,6.656615,2.5492233333333334,1207.7299999999987,0.3285481929779053,0.007620676283745095
beta,beta 2.5,1.0,5,3.0,2.5,OPTIMAL,2876.2569591666656,34,3,2926.4999999999986,35.003595000000004,15.239445833333333,6.0957783333333335,2.6128049999999994,1207.7299999999987,0.3267037868499756,0.007950776360909899
beta,beta 5,1.0,5,3.0,5.0,OPTIMAL,2860.729806666665,34,3,2926.4999999999986,35.01616,30.75403333333333,6.150806666666666,2.8436383333333333,1207.7299999999987,0.28745388984680176,0.009750572261919596
beta,beta 10,1.0,5,3.0,10.0,OPTIMAL,2836.9398033333314,34,3,2926.4999999999986,30.63078,58.92941666666666,5.892941666666665,2.6585,1207.7299999999987,0.8108079433441162,0.00995481657863902
